course_id,name,start_date,end_date,start_time,end_time,hours,coach_id,branch_id,location,fee,requirement,max_seats,img
300430,Evening Weightlifting Technique Workshop,2025-05-24,2025-08-16,09:00,11:00,2.0,100736,296,Studio A4,250,Medical clearance needed,20,/images/weightlifting-2.jpg
300251,Morning Dance Hip-hop Workshop,2025-05-24,2025-06-21,14:00,16:00,2.0,101486,88,Studio B4,70,No experience required,30,/images/dance-5.jpg
300045,Morning Cycling HIIT Class,2025-05-24,2025-08-16,18:00,20:00,2.0,101134,252,Studio C1,190,Age 16+,30,/images/cycling-4.jpg
300484,Morning Dance Zumba Session,2025-05-25,2025-07-20,18:00,20:00,2.0,102338,202,Studio B3,300,Medical clearance needed,15,/images/dance-2.jpg
300228,Afternoon Martial Arts Kickboxing Session,2025-05-25,2025-07-20,14:00,16:00,2.0,100588,483,Studio B2,80,No experience required,25,/images/martial arts-4.jpg
300044,Morning Weightlifting Olympic Class,2025-05-26,2025-06-23,19:00,21:00,2.0,101588,245,Studio B3,170,Basic fitness required,25,/images/weightlifting-5.jpg
300384,Afternoon Pilates Clinical Workshop,2025-05-26,2025-07-21,18:00,20:00,2.0,100232,389,Studio C1,100,Basic fitness required,25,/images/pilates-2.jpg
300203,Afternoon Pilates Clinical Session,2025-05-26,2025-07-21,09:00,11:00,2.0,100033,338,Studio B1,260,Basic fitness required,20,/images/pilates-4.jpg
300485,Evening Weightlifting Strength Workshop,2025-05-27,2025-08-19,09:00,11:00,2.0,100208,336,Studio A5,80,Age 16+,20,/images/weightlifting-2.jpg
300379,Afternoon Weightlifting Power Session,2025-05-27,2025-06-24,09:00,11:00,2.0,101139,432,Studio A5,100,Basic fitness required,25,/images/weightlifting-4.jpg
300015,Weekend Weightlifting Olympic Workshop,2025-05-27,2025-08-19,09:00,11:00,2.0,100736,200,Studio B4,120,Age 16+,20,/images/weightlifting-1.jpg
300149,Weekend Dance Zumba Program,2025-05-27,2025-07-22,09:00,11:00,2.0,101539,473,Studio A2,270,No experience required,25,/images/dance-1.jpg
300009,Evening Weightlifting Olympic Workshop,2025-05-27,2025-06-24,19:00,21:00,2.0,101942,470,Studio A2,280,Medical clearance needed,30,/images/weightlifting-2.jpg
300048,Morning Cycling Indoor Program,2025-05-28,2025-08-20,09:00,11:00,2.0,102963,29,Studio C3,200,Basic fitness required,20,/images/cycling-2.jpg
300330,Afternoon Weightlifting Technique Session,2025-05-28,2025-08-20,19:00,21:00,2.0,102043,174,Studio A5,110,Age 16+,15,/images/weightlifting-5.jpg
300038,Afternoon Martial Arts MMA Session,2025-05-28,2025-06-25,09:00,11:00,2.0,100229,458,Studio C3,230,Basic fitness required,20,/images/martial arts-1.jpg
300014,Morning Cycling Indoor Class,2025-05-28,2025-08-20,19:00,21:00,2.0,100821,395,Studio C2,230,No experience required,25,/images/cycling-5.jpg
300355,Weekend Martial Arts Kickboxing Workshop,2025-05-28,2025-08-20,18:00,20:00,2.0,101121,172,Studio A4,160,Age 16+,20,/images/martial arts-2.jpg
300181,Weekend Yoga Beginner Session,2025-05-28,2025-08-20,18:00,20:00,2.0,100194,242,Studio B3,220,Medical clearance needed,15,/images/yoga-1.jpg
300310,Afternoon Dance Aerobic Class,2025-05-29,2025-07-24,14:00,16:00,2.0,101215,34,Studio C3,100,No experience required,25,/images/dance-1.jpg
300028,Weekend Weightlifting Strength Workshop,2025-05-29,2025-06-26,09:00,11:00,2.0,102740,302,Studio A4,240,Basic fitness required,20,/images/weightlifting-4.jpg
300381,Evening Weightlifting Technique Workshop,2025-05-29,2025-08-21,18:00,20:00,2.0,102294,490,Studio A3,150,No experience required,30,/images/weightlifting-4.jpg
300457,Evening Cycling Endurance Program,2025-05-29,2025-07-24,14:00,16:00,2.0,102539,492,Studio C3,90,Medical clearance needed,25,/images/cycling-2.jpg
300017,Morning Yoga Advanced Class,2025-05-29,2025-07-24,09:00,11:00,2.0,100195,498,Studio C4,130,No experience required,20,/images/yoga-2.jpg
300127,Afternoon Cycling Endurance Class,2025-05-29,2025-06-26,19:00,21:00,2.0,100165,68,Studio C4,130,Age 16+,25,/images/cycling-1.jpg
300275,Evening Pilates Clinical Program,2025-05-30,2025-06-27,09:00,11:00,2.0,101776,325,Studio B2,150,Basic fitness required,15,/images/pilates-1.jpg
300056,Afternoon Martial Arts MMA Program,2025-05-30,2025-08-22,18:00,20:00,2.0,100865,370,Studio B5,70,Basic fitness required,20,/images/martial arts-2.jpg
