branch_id,name,city,district,address
GY607791,Jīn Shì Bǎo Industrial Flagship,Suzhou,Industrial Park District,050 Wilkerson Branch (Near University)
GY514358,Ào Měi Industrial Flagship,Suzhou,Industrial Park District,849 Connor Springs (Near Shopping Mall)
GY707267,Wēi Kāng Licheng Flagship,Jinan,Licheng District,846 Thomas Port (Near Shopping Mall)
GY925640,Jiàn Lè Luohu Flagship,Shenzhen,Luohu District,593 Adams Mount (Near Shopping Mall)
GY485079,Wēi Ěr Shì Xiangcheng Flagship,Suzhou,Xiangcheng District,347 Scott View (Near University)
GY628211,Yī Zhào Wéi Dé Hexi Flagship,Tianjin,Hexi District,114 Moody Cliff Suite 990 (Near University)
GY277306,Wēi Kāng Shangcheng Flagship,Hangzhou,Shangcheng District,35284 Isabel Stream (Near University)
GY666916,Jīn Shì Bǎo Fenghua Flagship,Ningbo,Fenghua District,045 Calvin Well Suite 132 (Near Metro Station)
GY773201,Jiàn Lè Shangcheng Flagship,Hangzhou,Shangcheng District,5598 Stanley Shores Apt. 673 (Near University)
GY066144,Měi Gé Fēi Jiang'an Flagship,Wuhan,Jiang'an District,103 Daugherty Row (Near Shopping Mall)
GY492776,Měi Gé Fēi Futian Flagship,Shenzhen,Futian District,310 Annette Walks (Near University)
GY044672,Yī Zhào Wéi Dé Xiangcheng Flagship,Suzhou,Xiangcheng District,646 Buckley Ways (Near Metro Station)
GY761156,Wēi Ěr Shì Nanshan Flagship,Shenzhen,Nanshan District,12176 Delacruz Estates (Near Shopping Mall)
GY959367,Jiàn Lè Binjiang Flagship,Hangzhou,Binjiang District,40536 Jefferson Crescent (Near Shopping Mall)
GY674908,Ào Měi Yangpu Flagship,Shanghai,Yangpu District,450 Ashley Crest Apt. 507 (Near University)
GY695593,Lì Měi Yuhuatai Flagship,Nanjing,Yuhuatai District,869 Ramirez Flat (Near Metro Station)
GY503170,Měi Gé Fēi Shizhong Flagship,Jinan,Shizhong District,59075 Edward Union Apt. 271 (Near Metro Station)
GY765044,Jīn Shì Bǎo Jinniu Flagship,Chengdu,Jinniu District,518 Cindy Parkway Apt. 657 (Near University)
GY997152,Wēi Kāng Futian Flagship,Shenzhen,Futian District,469 Harris Park (Near Shopping Mall)
GY751638,Yī Zhào Wéi Dé Xuhui Flagship,Shanghai,Xuhui District,900 Moore Lane (Near University)
GY750900,Jīn Shì Bǎo Shangcheng Flagship,Hangzhou,Shangcheng District,078 Cheryl Extension (Near Metro Station)
GY950541,Lì Měi Baqiao Flagship,Xi'an,Baqiao District,36524 Matthew Radial (Near University)
GY003067,Wēi Ěr Shì Beibei Flagship,Chongqing,Beibei District,269 Jacqueline Heights Apt. 764 (Near University)
GY702988,Jiàn Lè Baqiao Flagship,Xi'an,Baqiao District,12603 Weber Islands Apt. 629 (Near Metro Station)
GY023262,Wēi Ěr Shì Huangdao Flagship,Qingdao,Huangdao District,51427 Tony Inlet (Near University)
GY140012,Wēi Kāng Wanjiang Flagship,Dongguan,Wanjiang District,103 Danielle Road (Near Shopping Mall)
GY460868,Wēi Ěr Shì Futian Flagship,Shenzhen,Futian District,69927 Larry Ports Apt. 657 (Near Metro Station)
GY825727,Jiàn Lè Jianggan Flagship,Hangzhou,Jianggan District,21159 Jerry Ville (Near Metro Station)
GY265446,Ào Měi Qiaokou Flagship,Wuhan,Qiaokou District,0019 Amy Springs Apt. 540 (Near University)
GY811525,Měi Gé Fēi Fengtai Flagship,Beijing,Fengtai District,68136 Diane Freeway Suite 919 (Near Metro Station)
GY005363,Měi Gé Fēi Dongcheng Flagship,Beijing,Dongcheng District,97358 Nathan Mission (Near Metro Station)
GY515955,Wēi Ěr Shì Fengtai Flagship,Beijing,Fengtai District,4013 Linda Street Apt. 332 (Near Metro Station)
GY261274,Wēi Ěr Shì Gaoming Flagship,Foshan,Gaoming District,2826 Robin Walks (Near Metro Station)
GY249484,Jiàn Lè Qixia Flagship,Nanjing,Qixia District,0713 Brendan Radial (Near University)
GY990624,Jiàn Lè Chaoyang Flagship,Beijing,Chaoyang District,40791 Jamie Trace Suite 293 (Near Shopping Mall)
GY294432,Lì Měi Nan'an Flagship,Chongqing,Nan'an District,8834 Stone Summit Suite 950 (Near Metro Station)
GY374301,Yī Zhào Wéi Dé Jianggan Flagship,Hangzhou,Jianggan District,642 Jeremiah Summit (Near Shopping Mall)
GY137662,Lì Měi Beibei Flagship,Chongqing,Beibei District,772 Matthew Passage (Near Shopping Mall)
GY051410,Jīn Shì Bǎo Nan'an Flagship,Chongqing,Nan'an District,304 Megan Crescent Apt. 691 (Near Metro Station)
GY703798,Wēi Kāng Qingyang Flagship,Chengdu,Qingyang District,64485 Jennifer Walks Apt. 366 (Near University)
GY466745,Yī Zhào Wéi Dé Huli Flagship,Xiamen,Huli District,3197 Michael View Suite 039 (Near Shopping Mall)
GY600098,Ào Měi Nancheng Flagship,Dongguan,Nancheng District,682 Dakota Flat Suite 960 (Near University)
GY702857,Měi Gé Fēi Huangdao Flagship,Qingdao,Huangdao District,6747 Richard Crescent (Near Shopping Mall)
GY145962,Ào Měi Xicheng Flagship,Beijing,Xicheng District,493 John Brook Apt. 453 (Near University)
