course_id,name,start_date,end_date,hours,coach_id,branch_id,location,fee,requirement,max_seats,img
300321,Morning Yoga Prenatal Session,2025-05-24,2025-06-21,2.0,137979,GY827105,Studio A2,230,Medical clearance needed,30,/images/yoga-1.jpg
300089,Morning Weightlifting Technique Workshop,2025-05-25,2025-06-22,2.0,107776,GY773201,Studio C2,70,Age 16+,20,/images/weightlifting-5.jpg
300135,Evening Cycling HIIT Workshop,2025-05-25,2025-06-22,2.0,106209,GY639740,Studio B4,280,No experience required,20,/images/cycling-3.jpg
300070,Morning Dance Zumba Workshop,2025-05-25,2025-06-22,2.0,106663,GY196210,Studio B4,120,Basic fitness required,20,/images/dance-3.jpg
300019,Morning Dance Hip-hop Program,2025-05-26,2025-06-23,2.0,119946,GY094189,Studio A3,100,No experience required,25,/images/dance-3.jpg
300044,Weekend Dance Hip-hop Session,2025-05-27,2025-06-24,2.0,134292,GY526081,Studio C3,230,Age 16+,20,/images/dance-1.jpg
300065,Morning Cycling Indoor Workshop,2025-05-27,2025-07-22,2.0,132199,GY550665,Studio C4,230,No experience required,20,/images/cycling-1.jpg
300309,Evening Dance Aerobic Session,2025-05-27,2025-07-22,2.0,154332,GY835355,Studio C5,190,Basic fitness required,20,/images/dance-2.jpg
300245,Evening Pilates Group Workshop,2025-05-27,2025-07-22,2.0,122739,GY999073,Studio C5,250,Age 16+,25,/images/pilates-2.jpg
300196,Evening Yoga Intermediate Workshop,2025-05-27,2025-07-22,2.0,157277,GY441497,Studio C5,150,Medical clearance needed,15,/images/yoga-4.jpg
300076,Weekend Weightlifting Power Program,2025-05-27,2025-08-19,2.0,104278,GY004015,Studio B4,80,Medical clearance needed,20,/images/weightlifting-1.jpg
300379,Morning Yoga Advanced Class,2025-05-27,2025-08-19,2.0,122458,GY943545,Studio B1,140,Age 16+,25,/images/yoga-4.jpg
300360,Weekend Weightlifting Olympic Session,2025-05-28,2025-08-20,2.0,117145,GY491016,Studio A3,220,Age 16+,25,/images/weightlifting-4.jpg
300339,Evening Pilates Clinical Workshop,2025-05-28,2025-06-25,2.0,141430,GY203253,Studio B5,210,Age 16+,25,/images/pilates-3.jpg
300055,Afternoon Cycling Indoor Class,2025-05-29,2025-08-21,2.0,165566,GY523557,Studio C1,60,Basic fitness required,25,/images/cycling-2.jpg
300138,Morning Yoga Intermediate Program,2025-05-29,2025-07-24,2.0,156886,GY482515,Studio A3,90,Basic fitness required,25,/images/yoga-1.jpg
300213,Weekend Yoga Hot Program,2025-05-30,2025-08-22,2.0,120449,GY005363,Studio A2,270,No experience required,25,/images/yoga-3.jpg
300054,Morning Cycling HIIT Workshop,2025-05-30,2025-06-27,2.0,120661,GY717025,Studio C3,110,Basic fitness required,25,/images/cycling-2.jpg
300373,Evening Pilates Clinical Workshop,2025-05-30,2025-07-25,2.0,121640,GY465252,Studio B5,70,No experience required,30,/images/pilates-2.jpg
300185,Evening Dance Aerobic Session,2025-05-30,2025-07-25,2.0,117684,GY180669,Studio A5,140,Medical clearance needed,25,/images/dance-2.jpg
300482,Morning Yoga Advanced Session,2025-05-30,2025-06-27,2.0,134264,GY823410,Studio C4,300,Basic fitness required,20,/images/yoga-4.jpg
300393,Evening Cycling Endurance Workshop,2025-05-30,2025-06-27,2.0,154317,GY880908,Studio C2,100,Medical clearance needed,20,/images/cycling-2.jpg
300323,Afternoon Pilates Clinical Session,2025-05-31,2025-07-26,2.0,146058,GY484510,Studio B1,200,Medical clearance needed,20,/images/pilates-3.jpg
300043,Weekend Dance Hip-hop Class,2025-05-31,2025-06-28,2.0,130755,GY411712,Studio C3,180,Medical clearance needed,25,/images/dance-3.jpg
300438,Weekend Martial Arts MMA Workshop,2025-05-31,2025-06-28,2.0,146982,GY943545,Studio A5,160,Medical clearance needed,30,/images/martial arts-1.jpg
300038,Morning Martial Arts MMA Workshop,2025-05-31,2025-06-28,2.0,125142,GY344569,Studio C2,160,Basic fitness required,30,/images/martial arts-2.jpg
300344,Morning Weightlifting Power Workshop,2025-05-31,2025-08-23,2.0,156608,GY744300,Studio A1,130,No experience required,25,/images/weightlifting-1.jpg
300492,Morning Dance Aerobic Class,2025-05-31,2025-06-28,2.0,123578,GY997533,Studio C5,230,Medical clearance needed,25,/images/dance-4.jpg
300208,Morning Weightlifting Strength Session,2025-05-31,2025-06-28,2.0,161747,GY119850,Studio C2,110,Basic fitness required,20,/images/weightlifting-2.jpg
300456,Afternoon Weightlifting Power Class,2025-05-31,2025-06-28,2.0,145638,GY666916,Studio B1,180,Age 16+,30,/images/weightlifting-4.jpg
300383,Weekend Pilates Mat Class,2025-06-01,2025-08-24,2.0,144189,GY628303,Studio C4,170,Basic fitness required,15,/images/pilates-1.jpg
300074,Weekend Pilates Group Session,2025-06-01,2025-06-29,2.0,112874,GY952752,Studio A5,270,Medical clearance needed,25,/images/pilates-1.jpg
300088,Afternoon Martial Arts Kickboxing Workshop,2025-06-01,2025-06-29,2.0,160051,GY108267,Studio A5,230,Basic fitness required,20,/images/martial arts-1.jpg
300398,Morning Weightlifting Technique Session,2025-06-01,2025-07-27,2.0,129721,GY162142,Studio C2,110,No experience required,15,/images/weightlifting-2.jpg
300120,Morning Weightlifting Strength Program,2025-06-02,2025-06-30,2.0,108056,GY526081,Studio B4,260,No experience required,20,/images/weightlifting-5.jpg
300113,Morning Dance Zumba Class,2025-06-02,2025-06-30,2.0,132434,GY094179,Studio A4,90,Medical clearance needed,30,/images/dance-4.jpg
300110,Weekend Yoga Beginner Workshop,2025-06-02,2025-08-25,2.0,113808,GY276329,Studio A3,160,Medical clearance needed,20,/images/yoga-2.jpg
300132,Evening Pilates Reformer Session,2025-06-02,2025-07-28,2.0,157283,GY437696,Studio A2,90,No experience required,20,/images/pilates-3.jpg
300079,Morning Martial Arts Boxing Class,2025-06-02,2025-08-25,2.0,132416,GY636029,Studio C3,180,No experience required,20,/images/martial arts-5.jpg
300077,Morning Dance Aerobic Program,2025-06-02,2025-07-28,2.0,136464,GY488432,Studio C1,240,Medical clearance needed,30,/images/dance-4.jpg
300263,Morning Weightlifting Power Workshop,2025-06-02,2025-07-28,2.0,168375,GY246616,Studio C2,120,Medical clearance needed,30,/images/weightlifting-1.jpg
300475,Evening Pilates Reformer Class,2025-06-02,2025-08-25,2.0,111906,GY628303,Studio C4,160,Age 16+,25,/images/pilates-1.jpg
300338,Afternoon Weightlifting Technique Session,2025-06-02,2025-07-28,2.0,152000,GY521102,Studio C2,240,Medical clearance needed,20,/images/weightlifting-3.jpg
300410,Afternoon Martial Arts Boxing Workshop,2025-06-02,2025-07-28,2.0,151380,GY448309,Studio C5,70,Basic fitness required,20,/images/martial arts-3.jpg
300471,Afternoon Martial Arts MMA Session,2025-06-03,2025-07-29,2.0,111500,GY642998,Studio A1,200,No experience required,25,/images/martial arts-5.jpg
300406,Afternoon Dance Zumba Program,2025-06-03,2025-07-01,2.0,141825,GY393015,Studio C3,270,Age 16+,20,/images/dance-2.jpg
300034,Morning Dance Aerobic Program,2025-06-03,2025-07-29,2.0,127886,GY276329,Studio B2,130,No experience required,20,/images/dance-3.jpg
300234,Morning Martial Arts MMA Class,2025-06-03,2025-07-29,2.0,104567,GY600932,Studio C2,200,Medical clearance needed,20,/images/martial arts-3.jpg
300362,Weekend Cycling Indoor Class,2025-06-04,2025-07-30,2.0,168678,GY034591,Studio B5,200,Basic fitness required,20,/images/cycling-4.jpg
300136,Evening Martial Arts MMA Workshop,2025-06-04,2025-07-02,2.0,115602,GY165618,Studio A2,150,Medical clearance needed,15,/images/martial arts-3.jpg
300494,Evening Dance Hip-hop Session,2025-06-04,2025-08-27,2.0,163219,GY880908,Studio A5,290,No experience required,25,/images/dance-3.jpg
300277,Evening Dance Hip-hop Session,2025-06-05,2025-07-31,2.0,106648,GY066144,Studio B4,270,Basic fitness required,20,/images/dance-4.jpg
300311,Afternoon Yoga Advanced Session,2025-06-05,2025-07-03,2.0,126022,GY803626,Studio B3,250,No experience required,30,/images/yoga-3.jpg
300300,Weekend Weightlifting Strength Program,2025-06-05,2025-07-03,2.0,118483,GY592598,Studio C2,150,Age 16+,20,/images/weightlifting-5.jpg
300302,Morning Pilates Reformer Session,2025-06-05,2025-07-31,2.0,169065,GY584202,Studio B4,130,Basic fitness required,20,/images/pilates-5.jpg
300017,Morning Pilates Mat Class,2025-06-05,2025-08-28,2.0,111106,GY873199,Studio C4,160,No experience required,20,/images/pilates-3.jpg
300239,Morning Yoga Intermediate Program,2025-06-05,2025-08-28,2.0,115131,GY417330,Studio A4,110,Basic fitness required,25,/images/yoga-3.jpg
300495,Weekend Yoga Prenatal Session,2025-06-05,2025-07-03,2.0,146275,GY987462,Studio C2,150,Medical clearance needed,20,/images/yoga-1.jpg
300335,Weekend Pilates Mat Session,2025-06-06,2025-08-01,2.0,101853,GY137222,Studio C1,200,Age 16+,25,/images/pilates-2.jpg
300444,Afternoon Cycling Indoor Session,2025-06-06,2025-07-04,2.0,112748,GY976894,Studio B4,110,Basic fitness required,20,/images/cycling-3.jpg
300271,Morning Cycling HIIT Class,2025-06-06,2025-08-29,2.0,138399,GY415430,Studio C5,180,Basic fitness required,25,/images/cycling-4.jpg
300497,Morning Martial Arts MMA Class,2025-06-06,2025-07-04,2.0,161817,GY811525,Studio A5,270,Age 16+,20,/images/martial arts-2.jpg
300408,Morning Cycling Endurance Program,2025-06-06,2025-08-01,2.0,120297,GY214139,Studio B4,220,Age 16+,25,/images/cycling-2.jpg
300108,Evening Martial Arts MMA Program,2025-06-06,2025-08-01,2.0,154837,GY200061,Studio B5,60,Medical clearance needed,15,/images/martial arts-4.jpg
300457,Morning Martial Arts Kickboxing Program,2025-06-07,2025-08-02,2.0,163113,GY980616,Studio B4,200,Basic fitness required,30,/images/martial arts-1.jpg
300022,Evening Dance Aerobic Session,2025-06-07,2025-08-02,2.0,156838,GY742023,Studio C1,150,Age 16+,30,/images/dance-4.jpg
300248,Morning Weightlifting Power Session,2025-06-07,2025-07-05,2.0,135197,GY437696,Studio A4,260,Medical clearance needed,15,/images/weightlifting-1.jpg
